age,geo_area,vehicle_type,est_value,miles_driven,college_grad_ind,speeding_ticket_ind,hard_braking_ind,late_driving_ind,clean_driving_ind,expenses
35,urban,suv,71885,12137,0,0,0,0,1,0
45,rural,suv,26435,9760,0,0,0,0,1,0
37,suburban,truck,29872,14345,0,1,0,0,1,25735.94
54,urban,suv,29411,8792,0,0,1,0,1,0
37,rural,car,70978,19713,0,1,0,0,0,0
29,urban,truck,35504,11823,0,0,1,0,1,0
50,suburban,suv,30156,13263,0,1,0,0,1,0
43,urban,suv,30552,14271,1,0,1,0,0,0
52,rural,car,56358,36705,1,0,0,0,0,0
62,suburban,car,28506,14226,0,0,0,0,0,0
18,urban,suv,125000,8610,0,0,1,0,1,0
19,urban,truck,63300,9636,0,0,0,0,0,23465.02
51,suburban,car,30774,16402,0,0,1,0,1,0
48,rural,suv,27723,21281,0,0,0,1,0,0
30,suburban,car,25442,6885,0,0,1,0,0,0
80,urban,car,14286,14591,0,0,0,0,1,0
18,urban,car,87071,9872,0,0,0,0,1,0
31,urban,truck,44798,15616,1,0,0,0,1,0
46,rural,suv,55909,14914,1,0,0,0,1,0
34,rural,truck,41294,14953,0,0,0,0,1,0
66,suburban,car,34986,14815,0,0,0,0,1,32375.79
40,urban,car,27518,17863,0,0,1,0,0,0
30,suburban,suv,41643,9956,0,0,0,0,1,0
28,suburban,suv,29087,12537,0,0,0,0,1,0
41,urban,suv,45084,25410,0,1,1,0,1,0
57,urban,suv,31744,8328,0,0,1,0,0,0
17,suburban,truck,25464,17379,0,0,0,0,1,0
44,rural,suv,37856,19205,1,1,0,0,1,0
46,urban,suv,37399,12825,0,0,0,0,1,0
32,rural,truck,43824,18349,0,0,0,0,0,0
29,suburban,suv,31518,15835,0,1,1,0,0,0
40,suburban,suv,47585,23186,0,0,1,0,0,0
41,suburban,suv,17528,15876,0,0,1,0,1,0
19,urban,suv,42667,13487,0,0,1,0,0,0
33,urban,car,43430,11110,1,0,0,0,1,0
81,urban,car,125000,11956,1,1,0,0,1,0
18,urban,suv,123270,8399,0,0,1,0,1,0
21,urban,car,33271,18762,0,0,0,0,1,0
53,urban,truck,38516,10583,0,0,0,0,1,0
74,suburban,suv,27283,14386,0,0,0,0,1,10317.16
36,urban,suv,27639,12663,1,0,1,0,1,0
49,rural,suv,50672,14546,0,0,1,1,1,15256.04
42,suburban,car,12584,13152,1,0,0,0,1,0
46,rural,car,48546,16965,0,0,0,0,1,0
80,urban,suv,39926,11057,1,0,0,0,0,0
59,suburban,car,24854,14531,0,1,0,0,0,0
58,urban,suv,26787,10374,0,0,1,0,1,0
33,suburban,suv,34132,11526,0,0,0,0,1,0
19,suburban,suv,54542,18161,0,0,1,0,1,0
45,suburban,suv,30281,11015,0,0,0,0,1,0
36,urban,truck,72408,11294,0,0,0,0,0,0
50,suburban,suv,27266,11110,0,0,0,0,0,0
49,rural,suv,32609,19286,0,0,0,0,1,0
49,urban,truck,31525,16947,0,0,1,0,1,0
72,suburban,suv,27602,11951,0,0,0,0,1,0
36,suburban,suv,37616,12974,0,0,0,0,1,0
35,urban,suv,26962,15324,0,1,0,0,1,16763.2
28,urban,car,38343,11668,0,0,0,0,1,0
39,suburban,minivan,32943,14245,1,1,0,0,1,0
31,urban,car,61567,11953,1,0,1,0,0,0
19,urban,suv,50841,12442,0,0,1,0,1,9946.81
24,urban,suv,28119,8270,0,0,1,0,1,0
35,urban,suv,21044,15808,0,0,0,1,1,5190.5
39,suburban,suv,66706,15149,1,0,0,0,0,0
51,suburban,suv,41871,16305,0,0,0,0,0,0
24,urban,suv,27540,12304,0,0,0,1,1,0
27,suburban,truck,41600,14719,0,0,0,0,1,0
24,suburban,suv,33709,15903,1,0,1,0,0,0
49,suburban,suv,35424,15616,0,0,0,0,1,0
32,suburban,suv,51096,15934,1,0,0,0,1,0
21,urban,suv,49171,9893,0,0,1,0,0,0
30,urban,suv,79797,12472,1,0,1,0,1,0
30,urban,truck,31663,14474,0,0,0,0,1,0
45,rural,truck,74345,20150,0,0,1,0,1,0
52,rural,car,34709,15327,0,1,0,0,1,0
71,suburban,car,44174,15558,0,0,1,1,1,0
59,suburban,suv,15502,15007,0,1,0,0,1,0
61,suburban,suv,27120,13493,0,0,0,0,1,0
52,suburban,truck,49606,9753,0,0,0,0,0,0
72,suburban,suv,45520,17577,0,0,0,0,1,0
68,suburban,car,26370,13054,1,0,1,0,1,23608.56
18,urban,suv,49683,11478,0,0,1,0,0,0
56,rural,car,28144,18595,0,0,0,0,1,0
48,suburban,car,25326,16589,0,0,0,0,1,20606.29
36,urban,car,25346,15617,0,0,0,1,1,0
18,urban,car,66872,9529,0,1,0,0,1,8194.9
27,suburban,suv,27406,14581,1,0,1,0,1,0
48,urban,truck,38585,8376,1,0,1,0,1,0
18,urban,suv,36400,13982,0,0,1,0,1,0
25,suburban,truck,59834,11721,0,0,0,0,1,0
21,urban,suv,31551,14962,0,0,1,0,1,23572.77
49,suburban,suv,29384,14243,1,0,0,0,1,0
39,suburban,car,42526,12024,0,0,0,0,1,0
44,suburban,truck,66921,14626,0,0,0,0,1,0
31,urban,suv,47560,12481,1,0,0,0,1,0
19,urban,suv,45914,11601,0,1,1,0,1,0
27,rural,truck,44286,20685,0,0,1,0,1,0
75,urban,suv,30754,11276,0,0,0,0,1,0
22,suburban,truck,43109,21129,0,0,1,0,0,0
43,urban,suv,28800,11349,1,0,0,0,0,0
40,rural,truck,125000,14216,1,0,1,0,1,0
84,suburban,car,25528,11744,0,0,0,0,1,0
64,urban,car,45639,13175,0,0,0,0,0,0
33,suburban,truck,56490,12447,0,0,0,0,1,0
57,suburban,car,27520,15938,0,1,1,0,1,0
53,rural,truck,61829,18581,0,0,0,0,1,0
56,suburban,truck,30598,12966,0,0,0,0,1,0
32,suburban,car,41990,14952,0,1,0,1,1,0
39,urban,car,25341,12359,0,0,1,0,1,21379.23
29,urban,suv,58062,11231,1,0,1,0,1,0
42,rural,truck,34511,17065,0,0,1,0,1,0
67,suburban,suv,50689,8552,0,0,0,0,1,0
53,suburban,suv,72510,13603,1,0,0,0,0,0
55,urban,suv,27821,14905,1,0,0,0,1,0
44,suburban,suv,28264,8818,0,0,0,0,1,0
32,rural,truck,57260,17328,0,0,0,0,0,0
41,urban,minivan,39413,10696,1,1,1,0,1,0
56,urban,suv,46333,10633,0,0,0,0,1,0
52,suburban,car,48596,14559,0,0,0,0,1,0
61,suburban,car,20017,15735,1,0,0,0,1,0
44,suburban,car,24231,17951,1,0,0,0,1,0
35,suburban,car,114590,13132,1,0,0,0,1,0
18,suburban,suv,34463,14627,0,0,1,0,0,14931.66
21,urban,car,25653,15378,0,0,1,0,0,0
33,suburban,suv,30190,12123,0,0,0,0,1,0
19,urban,suv,31757,12311,0,1,1,0,1,0
27,urban,suv,35628,14931,0,0,1,0,1,0
27,suburban,truck,54588,12966,0,1,1,0,0,0
52,urban,suv,34387,11824,1,1,1,0,0,0
53,suburban,truck,33325,10123,0,0,0,0,1,0
19,suburban,car,22924,11628,0,0,0,0,0,0
37,suburban,suv,29655,14076,0,0,0,0,0,0
31,rural,minivan,41210,19257,0,0,0,0,1,0
31,suburban,suv,44236,18083,1,0,1,0,0,0
69,urban,truck,33051,10768,0,0,0,0,1,0
35,suburban,suv,27780,13191,0,0,0,0,1,0
18,urban,suv,38805,21355,0,0,1,0,0,23294.69
18,suburban,suv,76328,11585,0,0,1,0,0,0
22,urban,car,27194,9307,0,0,1,0,1,6255.74
24,urban,suv,63032,12044,0,0,0,0,1,0
42,suburban,suv,29371,15568,1,0,0,0,0,0
57,suburban,suv,49743,12993,1,0,0,0,0,0
35,urban,minivan,27106,30651,0,0,0,0,0,0
55,rural,truck,30258,16074,0,0,1,1,0,0
48,urban,suv,117341,10953,1,0,0,0,1,0
33,suburban,suv,28842,16712,0,0,0,0,1,7702.8
50,suburban,suv,49761,8809,0,0,0,0,1,0
18,suburban,suv,37205,9220,0,0,1,0,0,0
24,rural,car,30879,13506,0,0,0,0,1,0
54,urban,car,55027,14982,0,0,1,0,1,0
29,suburban,car,28460,15329,0,0,1,1,1,0
44,suburban,suv,30025,19673,1,0,1,0,0,0
47,urban,truck,38615,15155,0,0,0,0,1,0
59,suburban,car,41944,11274,0,0,0,0,1,0
32,suburban,suv,31720,17774,0,0,0,0,1,7234.14
23,suburban,car,65304,14087,1,0,0,0,1,0
39,urban,truck,108457,10464,1,0,1,0,1,0
58,suburban,car,27883,10327,0,0,0,0,1,0
17,suburban,car,28536,8367,0,0,1,0,1,0
69,suburban,car,28106,6758,0,1,0,0,1,0
53,suburban,car,71638,9425,1,0,0,0,1,35070.75
56,suburban,suv,34991,17381,0,0,0,0,1,0
32,suburban,car,26859,16616,1,1,0,0,1,0
42,suburban,suv,29791,11292,0,0,1,0,0,0
40,suburban,suv,24232,15806,0,0,1,0,1,0
78,rural,suv,33221,19382,0,0,0,0,1,10645.74
65,suburban,car,20805,25308,0,0,0,0,0,0
56,suburban,truck,19802,10843,0,0,0,0,1,0
28,rural,car,87991,27828,0,1,1,0,1,0
21,urban,suv,49486,14844,0,0,0,0,1,0
31,urban,minivan,53930,12574,0,0,0,0,1,0
53,suburban,truck,59099,8365,1,0,0,0,1,0
28,urban,suv,37992,17172,1,0,1,0,1,0
24,rural,suv,26675,7450,0,0,1,0,1,0
24,suburban,suv,53912,18653,0,1,0,0,1,0
46,suburban,suv,28654,13221,0,0,0,1,1,0
18,urban,truck,17866,13628,0,0,1,0,0,0
42,rural,truck,62045,18320,0,0,0,0,1,0
21,urban,car,32745,9025,0,0,0,0,1,0
25,suburban,suv,27763,14099,0,0,0,0,0,0
28,suburban,suv,25204,12001,0,1,0,1,0,0
36,urban,car,23509,12377,0,0,1,0,0,8472.95
73,urban,suv,27780,15083,0,0,0,0,0,0
21,suburban,truck,41703,11478,0,0,0,0,1,0
17,urban,car,18199,24907,0,0,1,0,1,0
38,suburban,suv,26796,13841,0,0,1,0,1,0
53,rural,suv,72404,10754,1,0,0,0,1,21283.54
17,urban,suv,50411,10640,0,0,0,0,1,0
24,rural,suv,30233,14067,0,0,1,0,0,0
28,urban,suv,43368,10780,0,0,0,0,1,0
36,urban,car,38566,11988,1,0,0,0,1,0
42,urban,minivan,24810,8738,0,0,1,0,1,0
71,suburban,truck,43444,10273,0,1,0,0,0,0
47,suburban,truck,31428,17124,0,0,0,0,1,14056.47
68,urban,car,32779,13597,0,0,1,0,1,22872.8
40,suburban,suv,25544,12221,0,0,0,1,1,0
62,suburban,truck,51287,17282,0,0,0,0,1,0
44,suburban,minivan,31632,18644,0,0,1,0,0,0
64,suburban,suv,29472,10621,0,0,0,0,1,0
52,suburban,truck,124665,14567,0,0,0,0,1,0
16,urban,suv,30181,13088,0,0,1,0,0,0
45,rural,car,28217,21176,0,0,1,0,1,11295.38
40,urban,suv,34140,18179,1,0,0,0,1,0
40,suburban,suv,59737,18435,1,0,0,0,0,3151.64
74,urban,car,28404,6387,1,0,0,0,1,0
39,suburban,suv,31675,10908,1,0,1,0,0,0
47,urban,car,60996,13818,0,0,1,0,1,0
24,urban,suv,26891,15469,0,1,1,0,1,0
22,urban,suv,40036,11829,1,0,0,0,0,0
29,urban,truck,32823,14263,0,0,1,0,0,0
47,suburban,truck,24117,16812,0,0,1,0,0,0
46,urban,suv,32109,11947,1,0,1,0,1,0
33,urban,suv,29569,9757,0,0,1,0,1,0
23,urban,car,27660,6597,1,0,0,0,1,0
37,urban,suv,27944,14829,0,0,0,0,0,0
18,suburban,car,30285,13185,0,0,0,0,0,0
42,rural,suv,41151,18938,0,0,0,0,1,0
70,urban,truck,36851,10976,0,0,0,0,1,0
30,suburban,truck,23906,9744,0,0,0,0,1,0
50,suburban,suv,33286,9911,0,0,1,0,0,35772.13
50,suburban,truck,90992,10532,0,0,0,0,0,0
26,suburban,car,32854,13616,0,0,1,0,0,0
46,suburban,car,37452,15723,0,1,0,1,0,0
48,suburban,suv,32798,11881,0,0,0,0,1,17597.01
21,urban,car,69644,10020,0,0,1,0,1,0
24,urban,car,25819,12952,0,0,0,1,0,0
44,rural,suv,28251,26610,0,0,0,0,0,0
38,suburban,suv,26851,13581,1,0,0,0,1,0
40,suburban,minivan,26802,10308,0,0,1,0,0,0
59,suburban,truck,55296,10226,0,0,0,0,0,0
31,suburban,suv,29862,15738,0,1,0,0,1,0
79,suburban,car,39663,21100,0,0,0,1,1,0
70,rural,truck,27788,13597,0,0,1,0,1,0
49,suburban,suv,43235,17838,0,0,0,0,1,0
21,urban,truck,38882,8519,0,0,0,1,0,0
37,suburban,suv,31900,12893,0,0,0,0,1,0
59,urban,car,55861,12510,0,0,0,0,1,0
43,suburban,suv,30824,15362,0,0,1,0,1,0
34,suburban,car,50416,16446,0,0,0,0,1,22018.29
37,urban,suv,27665,17271,0,0,0,1,0,6295.3
48,suburban,suv,32869,12056,1,0,1,0,1,0
41,urban,truck,80309,13070,0,0,0,1,1,0
60,rural,car,50059,19087,0,0,0,0,0,0
78,urban,car,27346,9858,1,0,1,0,1,0
16,suburban,suv,15005,10924,0,0,1,0,1,0
54,suburban,car,29359,16510,1,1,0,0,1,0
19,suburban,suv,27889,12458,0,0,0,0,0,0
46,suburban,suv,31078,17680,0,0,1,0,0,0
42,suburban,minivan,57693,13194,1,0,0,0,1,0
25,suburban,truck,49586,15390,0,0,0,0,0,0
61,rural,car,24903,20530,0,0,0,0,1,0
25,suburban,suv,29405,9860,0,1,0,0,0,0
52,suburban,car,39789,17987,0,0,0,0,0,0
33,rural,truck,114448,15454,1,1,1,0,0,0
82,suburban,suv,31569,12426,0,0,0,0,1,0
21,urban,car,28490,19924,0,0,0,0,1,0
50,suburban,suv,28489,23438,1,0,1,0,0,0
30,suburban,car,21041,17235,0,0,1,0,1,0
39,rural,suv,61038,17871,0,1,1,0,0,0
42,suburban,truck,125000,15068,0,0,0,0,1,0
74,suburban,suv,32179,11263,0,0,0,0,1,0
20,urban,truck,32863,12532,0,0,0,0,0,0
59,urban,suv,30186,11313,0,0,0,0,1,0
53,urban,suv,30061,11368,1,0,0,0,1,0
21,suburban,suv,47780,12575,0,0,0,0,0,0
62,suburban,car,29788,13002,0,0,0,0,1,0
73,suburban,car,39729,15830,0,0,0,0,1,0
29,suburban,suv,26844,16671,1,0,1,0,0,13595.99
18,urban,suv,30043,11327,0,0,1,0,1,0
74,rural,truck,33226,18255,0,0,0,0,1,0
54,suburban,suv,48109,19088,0,0,1,0,0,0
33,urban,car,34743,7478,1,0,1,0,1,0
18,suburban,suv,24431,21207,0,0,1,0,1,0
47,urban,minivan,34736,14347,0,1,1,0,0,0
34,suburban,suv,38408,19261,0,0,0,0,0,0
56,suburban,car,31998,10606,0,1,0,0,0,0
66,urban,car,45888,6214,1,0,0,0,1,0
37,suburban,suv,66436,11319,0,0,0,0,1,0
57,urban,car,27928,9837,0,0,0,1,0,0
62,urban,suv,19261,8745,0,0,0,0,1,0
63,rural,suv,21276,14569,0,0,1,0,0,0
53,rural,car,29249,17697,0,0,1,0,1,0
66,rural,suv,125000,12148,1,0,0,0,1,0
55,rural,truck,33978,18366,0,1,0,0,0,0
41,suburban,suv,32438,28844,0,1,0,0,0,23923.4
43,urban,suv,26852,12783,0,1,0,0,1,0
23,suburban,suv,39745,9144,1,1,1,0,1,0
27,urban,truck,15336,12418,0,0,1,0,1,0
52,suburban,truck,65095,11610,0,0,0,0,1,0
37,suburban,suv,57097,8665,0,0,0,0,1,0
32,suburban,suv,28280,17187,0,1,1,0,1,0
35,urban,suv,55080,15291,1,0,1,0,1,0
33,urban,suv,33204,11983,0,1,0,0,1,0
55,suburban,car,24210,11421,0,0,1,0,1,0
58,urban,suv,40279,9521,0,0,0,0,1,0
49,suburban,suv,35574,9565,0,0,1,0,1,15846.27
33,suburban,suv,28967,24089,1,0,0,0,1,0
54,rural,suv,38730,15975,0,0,0,0,1,0
46,rural,suv,25913,16146,0,0,0,0,0,0
73,suburban,truck,41697,14926,0,0,0,0,1,0
74,rural,truck,34558,18727,0,0,0,0,1,0
52,rural,truck,31796,12726,0,1,0,0,1,0
78,rural,suv,37167,19048,0,0,0,0,1,22108.73
50,urban,suv,39469,9530,0,0,1,0,1,0
38,urban,suv,73508,12872,1,0,0,0,0,0
20,urban,suv,33415,9513,0,0,0,0,1,0
66,rural,car,29480,12272,0,0,0,0,1,0
53,suburban,car,27408,5273,0,0,0,0,1,0
64,suburban,car,22259,12665,0,0,0,0,1,0
69,urban,minivan,47952,14274,0,0,0,0,1,0
31,rural,minivan,51736,19886,1,0,1,0,1,0
49,suburban,car,29481,15086,1,0,0,0,0,0
59,urban,car,49717,16591,0,0,1,0,1,30679.23
34,rural,minivan,48229,14346,1,0,1,0,0,0
47,urban,car,19052,14282,1,0,0,0,1,0
24,suburban,car,40105,10721,0,0,0,0,0,22956.07
42,suburban,car,20358,12301,1,0,0,0,1,0
47,urban,suv,33246,11102,0,0,0,0,1,0
38,suburban,car,30667,13218,0,0,1,0,0,0
21,suburban,suv,53241,11997,0,0,0,0,1,0
24,rural,car,29467,14751,0,0,0,0,1,0
17,urban,truck,50316,14631,0,0,0,1,1,35382.2
34,suburban,suv,58818,9700,1,0,1,1,1,0
47,suburban,suv,32363,14361,0,0,0,0,1,0
37,suburban,truck,36908,16631,1,0,1,1,1,0
57,rural,suv,57227,14480,0,0,0,0,1,0
24,urban,suv,30864,11229,0,0,1,0,1,0
47,rural,minivan,32001,12613,0,0,0,0,0,0
65,urban,truck,35116,14578,1,0,1,0,1,0
19,urban,suv,27487,14507,0,0,1,0,0,0
32,suburban,suv,49911,11871,1,0,0,0,1,0
46,rural,truck,29008,10470,0,0,0,0,0,0
34,suburban,suv,26920,12229,1,1,1,0,0,0
29,suburban,car,34087,13571,1,0,1,0,0,0
30,rural,truck,37447,21704,0,1,0,0,1,25436.54
43,suburban,truck,38368,9879,0,0,0,0,1,0
43,suburban,suv,38711,22405,0,0,0,0,1,0
39,urban,truck,29766,8439,0,0,0,1,1,0
29,rural,suv,40076,15243,0,1,0,0,0,0
17,suburban,suv,32977,13988,0,0,0,0,1,0
26,rural,suv,51431,16015,0,0,1,0,1,0
43,suburban,car,28614,15463,0,0,0,0,1,0
46,suburban,suv,37885,15431,0,0,0,1,1,0
34,rural,suv,34786,30869,1,0,1,0,0,0
40,suburban,truck,33427,12891,1,0,0,0,1,0
75,suburban,car,52327,12295,0,0,0,0,1,0
20,urban,car,20579,12638,0,0,1,0,1,0
60,urban,car,71084,16499,1,0,0,0,1,0
16,urban,suv,37526,10579,0,0,1,0,1,0
31,suburban,suv,30383,13205,0,0,1,0,1,0
39,urban,suv,44919,11991,1,0,0,0,0,0
28,suburban,suv,37073,10295,0,0,1,0,1,0
36,suburban,car,51813,11545,0,1,0,0,1,0
66,urban,car,43270,8632,0,0,1,0,1,0
71,rural,suv,44196,21083,0,0,0,0,1,0
26,suburban,car,27314,10741,0,0,0,0,1,0
27,suburban,suv,40159,12588,0,0,0,0,0,0
43,rural,suv,42093,14475,0,0,1,0,1,0
66,suburban,car,46337,13057,1,0,0,0,1,0
40,urban,truck,34462,13357,0,0,1,0,1,0
18,urban,suv,48687,8988,0,0,1,0,0,0
73,suburban,suv,19607,6806,0,0,0,0,1,0
16,rural,truck,125000,14696,0,0,0,1,1,0
18,urban,suv,91019,13762,0,0,0,0,1,0
51,urban,truck,58501,14071,0,0,0,0,1,0
38,urban,car,26163,3348,1,0,0,0,1,0
40,urban,suv,60028,14421,1,0,0,1,1,24147.97
20,suburban,suv,30384,12383,0,0,0,0,0,0
59,rural,truck,32738,16589,0,0,1,1,0,0
46,suburban,suv,30714,19379,0,0,1,0,1,0
50,urban,suv,34572,12471,0,0,0,0,1,0
47,suburban,suv,47299,17396,0,0,0,0,0,0
38,urban,suv,48661,13594,1,0,1,0,0,0
87,rural,truck,28866,20579,0,0,0,0,1,0
36,suburban,suv,58999,7772,1,0,1,0,0,0
44,suburban,suv,28502,18284,1,0,1,0,1,0
17,urban,suv,45121,15511,0,0,1,0,1,0
67,urban,truck,38856,13463,0,0,0,0,0,0
38,rural,suv,28776,14078,1,0,0,0,1,0
40,suburban,truck,55705,16341,0,0,1,0,1,0
43,suburban,car,34779,13728,1,0,1,0,1,0
35,rural,car,32889,19016,0,0,0,0,0,0
59,urban,car,25771,19051,0,1,1,0,1,0
64,suburban,car,27061,14327,1,0,0,0,1,0
59,rural,truck,45674,11553,0,0,0,0,1,0
34,urban,truck,41304,12077,0,0,1,0,1,0
24,urban,car,52588,9767,0,0,1,1,0,0
42,suburban,truck,76810,14182,1,0,0,0,0,45632.84
77,rural,car,83847,35504,0,0,0,0,0,0
19,suburban,suv,31026,13168,0,0,0,1,1,0
50,rural,truck,68382,16415,1,0,0,0,1,0
56,suburban,car,26485,18115,0,0,0,0,1,0
62,suburban,truck,59483,16078,1,0,1,0,0,0
20,suburban,car,32241,12551,0,0,0,0,0,0
49,rural,truck,37409,16652,0,0,0,0,1,0
46,suburban,suv,46858,6019,0,0,1,0,1,0
50,urban,truck,29013,18328,1,1,1,0,1,0
19,suburban,suv,37840,16213,0,0,1,0,1,0
27,rural,suv,22184,20857,0,0,1,0,1,3695.49
25,rural,car,25710,14282,0,0,0,0,1,0
45,urban,car,122923,11848,1,0,0,0,1,0
68,rural,truck,18693,20850,0,0,0,0,1,0
44,urban,truck,30751,10487,0,0,0,0,1,0
54,suburban,truck,43176,13528,0,0,0,0,0,0
19,urban,suv,30058,9837,0,0,0,0,0,0
26,urban,suv,46118,8878,1,1,1,0,1,0
31,suburban,truck,61752,10230,1,0,0,0,0,0
36,suburban,suv,105075,10744,1,0,0,0,1,0
64,rural,suv,27108,12951,0,0,0,0,1,0
25,urban,suv,43257,14092,0,0,1,0,1,0
23,urban,suv,125000,9322,1,0,0,1,0,0
17,suburban,suv,25894,13460,0,1,0,0,1,0
41,rural,suv,28378,17076,1,0,0,0,1,0
